股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,涨跌幅,收盘价_复权,开盘价_复权,最高价_复权,最低价_复权
bj430090,同辉信息,2021-12-16,7.02,7.72,7.0,7.44,7.13,10062643.0,75343423.0,661507087.9200001,1140801217.68,0.04347826086956519,7.440000000000001,7.0200000000000005,7.720000000000001,7.000000000000001
bj430090,同辉信息,2021-12-17,7.43,7.99,7.21,7.78,7.44,10047272.0,77901508.0,691737250.54,1192934606.66,0.045698924731182755,7.780000000000001,7.430000000000001,7.990000000000001,7.210000000000001
bj430090,同辉信息,2021-12-20,7.6,8.82,7.46,8.39,7.78,13462560.0,109798328.0,745973718.77,1286468039.8300002,0.07840616966580982,8.390000000000002,7.6000000000000005,8.820000000000004,7.460000000000002
bj430090,同辉信息,2021-12-21,8.2,8.7,7.87,7.89,8.39,8942541.0,72836946.0,701517597.27,1209801291.33,-0.05959475566150185,7.8900000000000015,8.200000000000001,8.700000000000001,7.870000000000002
bj430090,同辉信息,2021-12-22,7.68,8.34,7.24,7.3,7.89,11451228.0,88584583.0,649059373.9,1119334528.1,-0.07477820025348536,7.300000000000002,7.680000000000001,8.340000000000002,7.240000000000002
bj430090,同辉信息,2021-12-23,7.31,7.49,7.07,7.18,7.3,4757664.0,34507310.0,638389904.74,1100934508.46,-0.016438356164383605,7.180000000000001,7.3100000000000005,7.490000000000001,7.070000000000001
bj430090,同辉信息,2021-12-24,7.21,7.4,7.05,7.19,7.18,4234088.0,30610478.0,639279027.17,1102467843.43,0.001392757660167332,7.190000000000002,7.210000000000002,7.400000000000002,7.050000000000002
bj430090,同辉信息,2021-12-27,7.26,7.58,7.15,7.32,7.19,4554005.0,33652335.0,650837618.76,1122401198.04,0.018080667593880273,7.320000000000001,7.260000000000001,7.580000000000001,7.150000000000001
bj430090,同辉信息,2021-12-28,7.25,7.49,7.22,7.38,7.32,4471310.0,32823011.0,656172353.3399999,1131601207.86,0.008196721311475308,7.380000000000002,7.250000000000002,7.490000000000003,7.2200000000000015
bj430090,同辉信息,2021-12-29,7.38,7.45,7.05,7.11,7.38,4088157.0,29500149.0,632166047.73,1090201163.6699998,-0.03658536585365846,7.110000000000002,7.380000000000002,7.450000000000002,7.050000000000002
bj430090,同辉信息,2021-12-30,7.15,7.43,7.06,7.29,7.11,5621299.0,41005879.0,648170251.47,1117801193.13,0.025316455696202445,7.290000000000002,7.150000000000002,7.430000000000002,7.060000000000001
bj430090,同辉信息,2021-12-31,7.5,8.79,7.45,8.15,7.29,16832025.0,139733629.0,724634780.4499999,1249668000.55,0.11796982167352543,8.150000000000002,7.500000000000001,8.790000000000001,7.450000000000001
bj430090,同辉信息,2022-01-04,8.4,10.38,8.22,10.03,8.15,22822391.0,211772610.0,891789797.29,1537934974.9099998,0.23067484662576665,10.03,8.4,10.380000000000003,8.22
bj430090,同辉信息,2022-01-05,9.5,10.68,9.2,9.6,10.03,18648539.0,184907697.0,853557532.8000001,1472001571.1999998,-0.04287138584247252,9.600000000000001,9.500000000000002,10.680000000000001,9.200000000000001
bj430090,同辉信息,2022-01-06,9.5,9.98,8.45,8.5,9.6,12596907.0,112186377.0,755754065.5,1303334724.5,-0.11458333333333326,8.500000000000002,9.500000000000002,9.980000000000002,8.450000000000001
bj430090,同辉信息,2022-01-07,8.4,8.82,8.25,8.29,8.5,7122348.0,60822370.0,737082494.4699999,1271134690.13,-0.024705882352941244,8.290000000000001,8.400000000000002,8.820000000000002,8.250000000000002
bj430090,同辉信息,2022-01-10,8.18,8.79,8.18,8.76,8.29,5089765.0,43500886.0,778871248.68,1343201433.72,0.05669481302774426,8.760000000000002,8.180000000000001,8.790000000000001,8.180000000000001
bj430090,同辉信息,2022-01-11,8.71,8.98,8.3,8.3,8.76,5031574.0,43259185.0,737971616.9,1272668025.1,-0.05251141552511407,8.300000000000002,8.710000000000003,8.980000000000002,8.300000000000002
bj430090,同辉信息,2022-01-12,8.32,8.76,8.05,8.7,8.3,5133655.0,42982125.0,773536514.1,1334001423.9,0.04819277108433728,8.700000000000001,8.320000000000002,8.760000000000002,8.050000000000002
bj430090,同辉信息,2022-01-13,8.83,9.53,8.62,9.05,8.7,10565922.0,97163814.0,804655799.15,1387668147.85,0.04022988505747138,9.050000000000002,8.830000000000002,9.530000000000001,8.620000000000001
